Object ID,Object Name.Term,Description,Title,Non-Original Title,Count,Inscription,Maker.Term,Dates.Date Range,Dimension,Subject.Term,Used.Term,Locale.Term,Period.Term,Culture.Term,Publisher.Term,Style/Tradition.Term,Credit Line,Collection Name,Collection Type.Code Description,Collection.Code Description,Copyright.Copy Right Category Type.Code Description,Copyright.Rights Granted
81.132.2,diorama,Miniature model steam engine train coming out of  tunnel and heading into another. Engine is black with gold writing as is coal car behind it. The third car is a maroon colored passenger car with windows. The fourth car is a maroon colored freight car with two windows. There is a painted background of mountains and sky. The tunnels are modeled and the foreground has rocks. Train is on a model track.,,The Narrow Gauge Denver and Rio Grande,1,(coal car): DENVER AND RIO GRANDE// (engine): MONTEZUMA// (other cars): DENVER & RIO/GRANDE R.W./BAGGAGE/MAIL// NO.3 SMOKING//,"Virgil C. Wells, Joseph Gonzales, A.A. Dubbs, C. Waldo Love, W.P.A.",1936-1937,"H: 48.934 in,  L: 135.339 in, W: 32.702 in","train, tunnel, Montezuma, Denver & Rio Grande Railroad, Baggage, Mail, Smoking",Denver (Colo.),Denver (Colo.),,,,,,,,Artifacts,,
81.132.3,diorama,scene of silver colored diesel locomotive train coming out of a tunnel and heading into another tunnel. The train is on railroad tracks. There is a roadway in the foreground. The background is a painted scene of mountains. There are power lines following the track.,,Motor Bus and Zephyr Scene,1,(on train): BURLINGTON,"A.A. Dubbs, C. Waldo Love, Works Project Administration, WPA",1936-1937,"H: 49.25 in,  L: 135.339 in, W: 32.31 in","train, tunnel, Burlington Zephyr",Denver (Colo.),Denver (Colo.),,,,,,,,Artifacts,,
81.132.4,diorama,"scene with two buildings in the foreground. One contains men on two different stories, the lower level has cargo wagons on the train tracks, the second level has the men with pick axes. There is a train stop next to the building on the left with a train stopped on it. There are two refineries to the left of the train. The background is a mountain scene with trees and multiple hills. ",,Lode Mining and Stamp Mill,1,none,"Stanley Poole, Works Project Administration, WPA",1933-1941,"W: 94 in, D: 36 in, H: 38 in","Mining, mill, building, track, Ore, mine, Cross section",Denver (Colo.),Denver (Colo.),,,,,,,,Artifacts,,
81.132.5,diorama,A scene of a man with a wagon full of rocks/ ore being pulled by four horses. There are reins on the horses. The terrain is rocky and the background is painted and rocky (not flat scene).,,Ore Wagon,1,none,"Harvey Gammill, Arthur Hoyer, A.A. Dubbs, Works Project Administration, WPA",1933-1941,"W: 76 in, D: 25 in, H: 26 in","Mining, wagon, Ore, man, horse, rock, road",Denver (Colo.),Denver (Colo.),,,,,,,,Artifacts,,
81.132.7,diorama,"view of hillside, with different routes dug out of the hill, for a long troff and a long pipe. Two men are cranking on either side of a well on the lower left edge of the diorama. Many other men are working with materials around the pipe. The background is a mountain scene, painted.",,Hydraulic Mining and A Spanish Arrastra,1,none,"Julius Ambrush, Works Project Administration, WPA",1933-1941,"W: 94 in, D: 32 in, H: 39 in","Mining, drilling, water, Well, Men, Ox",Denver (Colo.),Denver (Colo.),,,,,,,,Artifacts,,
84.128.34,photograph,"Photograph depicting the exterior and profile view of Longs Peak Inn in Estes Park, Colo. The cabin is made of logs and features a stone chimney and wooden staircase. There are tree trunks that extend through the porch roof and provide support for the structure. This cabin was owned by Enos Mills (1870-1922) a naturalist and a figure who was instrumental in establishing Rocky Mountain National Park. This photograph was shot by Fred Payne Clatworthy (1875-1953) circa 1904-1907, possibly before a fire that destroyed the structure in the summer 1906. A caption in the scrapbook compiled by Nelle Stevenson reads, ""Proprieter [sic] & famous dog trained to stamp out small forest blazes mistook dynamite fuse for one - was killed."" This note refers to Mills' dog Scotch.","Longs Peak Inn, Estes Park, Colo.",,1,"Printed on bottom of photo: ""310 LONGS PEAK INN ESTES PARK COLO, F. P. CLATWORTHY""  Handwritten in scrapbook underneath photo: ""Proprieter [sic] & famous dog trained to stamp out small forest blazes mistook dynamite fuse for one - was killed""","Clatworthy, Fred Payne, 1875-1953",1904-1907,,"Longs Peak Inn (Longs Peak, Colo.), Hotels--Colorado--Rocky Mountain National Park, Estes Park (Colo.)",,,,,,,,Nelle Stevenson collection,,Photographs,,
84.128.37,photograph,"Photograph depicting Big Thompson River next to a dirt road in Big Thompson Canyon in Loveland, Colo. This photograph was shot by Fred Payne Clatworthy (1875-1953) in circa 1900-1907.","Big Thompson Canon, Colo.",,1,"Printed on bottom of photo: ""No - 3 BIG THOMPSON CANON, COLO.  F. P. CLATWORTHY LOVELAND, COLO.""","Clatworthy, Fred Payne, 1875-1953",1900-1907,,"Rocky Mountain National Park (Colo.)., Big Thompson Canyon, Colorado, Loveland, Colorado",,,,,,,,Nelle Stevenson collection,,Photographs,,
84.193.303,photograph,,,,0,,Aultman Studio,1900-1913,,"Trinidad, Colorado, Courthouse",,,,,,,,,,Photographs,,
84.193.341,photograph,,,,0,,Aultman,1940-1950,,"Trinidad, Colorado, Men, Horses, Rifles, Ammunition, Ropes",,,,,,,,,,Photographs,,
84.193.754,photograph,,,,0,,O. E. Aultman,1883 - 1920,,"woman, bicycle",,,,,,,,,,Photographs,,
85.1.1,negative,Studio portrait of a Hispanic woman. She wears a dress with ruffled shoulders and a hat decorated with embroidery and flowers.,,Woman,1,,"O. E. Aultman, Aultman, Oliver E.",05/30/1893,18 x 13 cm. (7 x 5 in.),"Hispanic Americans--Women, Women, Gallegos, Nellie.",,,,,,,,"Aultman Glass Negative Collection, Aultman Studio photographs collection (Ph.00500)",,Photographs,,
85.1.2,negative,"Studio portrait of a man. He wears a coat, vest, and watch chain.",,Man,1,,"O. E. Aultman, Aultman, Oliver E.",1895,18 x 13 cm. (7 x 5 in.),Men,,,,,,,,"Aultman Glass Negative Collection, Aultman Studio photographs collection (Ph.00500)",,Photographs,,
86.296.5667,photograph,,Mt. Ypsilon Estes Park,,0,,Fred P. Clatworthy,1911,"IH: 4 in, IW: 6 in","Mount Ypsilon, Estes Park (Colo.)",,,,,,,,,,Photographs,,
86.333.25,photograph,,Colorado Pharmacal Association Estes Park June 17-18-19 1924,,0,Clatworthy,Fred P. Clatworthy,1920-1930,"SW: 17 in, SH: 7 in","Estes Park (Colo.), Pharmacists",,,,,,,,,,Photographs,,
88.232.10,photomechanical print,,,,0,,Fred Payne Clatworthy,"July 30,1927","IH: 4 in, IW: 5 in",Estes Park (Colo.),,,,,,,,Postcard Collection,,Photographs,,
92.308.2,woodcut print,"Narrow border around print.  Seven objects spaced around perimiter of paper.  Numbered 1-7.  Explanation for each number printed in white middle of print.   Number 1 are swirling lines, round shapes.   Number 2,3,4, and 7 are the mugs, handles can be seen on 2,4 and 7.  Typical Indian designs.  Number 5 is a jar with geometric designs, two small handles at bottom.  Number 6 another bowl with designs around front, some inside bowl.","Growth of Civilization
",1 color block: Mesa Mesa Verde Pottery,1,"Printed in middle, white ink:  ""MESA VERDE POTTERY /1 . INSIDE OF FOOD BOWL /  2  .   3   .  4  .  MUGS/   5   WATER JAR  -  6  .  FOOD BOWL   /  STATE HISTORICAL SOCIETY  /  OF COLORADO ""
","Chuck Tribble, National Art Administration Project",1933-1940,"H: 12 1/4 in, W: 16 5/8 in","text, Mesa Verde, Bowl, jar, mug","Art, Tools & Equipment for Communication, Education, State Historical Society of Colorado",Denver (Colo.),,,,,,,,Artifacts,,
